,xxx
5329,[C:1]([O:2][O:3][H:18])([H:4])([H:5])[H:6].[C:7]([C:8]([C:9]([C:10]([H:19])([H:20])[H:21])[O:11][C:12]([H:22])([H:23])[H:24])([H:16])[H:17])([H:13])([H:14])[H:15]
5330,[C:4]([C:5]([C:6]([C:7]([H:15])([H:16])[H:17])([C:8]([H:18])([H:19])[H:20])[C:9]([H:21])([H:22])[H:23])([H:13])[H:14])([H:10])[H:11].[O:1]([O:2][H:12])[H:3]
5331,[C:1]([C:2]([C:3]([H:4])([c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([H:19])[c:10]1[H:20])[O:24][C:22]([C:21]([H:27])([H:28])[H:29])=[O:23])([H:14])[H:15])([H:11])([H:12])[H:13].[C:25](=[C:26]([H:31])[H:32])[H:30]
5332,[C:1]([C:2]([C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[H:20])[H:10])([H:7])([H:8])[H:9].[H:11][C:21]([H:22])([H:23])[H:24]
5333,[C:14]([C:15](=[C:16][H:22])[C:17]([H:23])([H:24])[H:25])([H:18])([H:19])[H:20].[C:1]([C:2]([C:3]([H:4])([H:5])[H:21])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]
5334,[C:14]([C:15](=[C:16]([H:23])[H:24])[C:17](=[O:18])[O:19])([H:20])([H:21])[H:22].[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[O:8][H:13])([H:9])([H:10])[H:11].[H:12][H:25]
5335,[C:1]([C:2]([H:3])([H:4])[C:10]([C:11]([H:20])([H:21])[H:22])([O:12][C:13]([H:23])([H:24])[H:25])[H:19])([H:5])([H:6])[H:7].[C:8]([C:9]([H:17])[H:18])([H:14])([H:15])[H:16]
5336,[C:1]([H:8])([H:9])([H:10])[C:18]([C:17]([C:16]([H:21])([H:22])[H:23])([H:24])[H:25])([C:19]([H:26])([H:27])[H:28])[C:20]([H:29])([H:30])[H:31].[C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12]
5337,[C:1]([C:2]([H:3])([H:4])[H:18])([H:5])([H:6])[H:7].[C:8](=[C:9][c:10]1[c:11]([H:19])[c:12]([H:20])[c:13]([H:21])[c:14]([H:22])[c:15]1[H:23])([H:16])[H:17]
5338,[C:1]([C:2]([C:3]([H:4])([O:5][C:6](=[O:7])[C:8]([H:14])([H:15])[H:16])[C:20]([N:19]([C:18](=[C:17]([H:22])[H:23])[H:24])[H:25])([O:21])[H:26])([H:12])[H:13])([H:9])([H:10])[H:11]
5339,[C:1]([C:2]([C:3]([O:5][C:6]([H:16])([H:17])[H:18])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4]([H:13])([H:14])([H:15])[O:19][H:20]
5340,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[H:29])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20](=[C:21]([N:22]([C:23]=[O:24])[H:28])[H:27])([H:25])[H:26]
5341,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[O:16][C:15]([O:14][C:13]([C:12]([H:21])([H:22])[H:23])([H:24])[H:25])[C:17]([C:18]([H:27])([H:28])[H:29])([C:19]([C:20]([H:32])([H:33])[H:34])([H:30])[H:31])[H:26])([H:6])([H:7])[H:8]
5342,[C:1]([O:2][C:3](=[O:4])[C:5]=[C:6]([H:11])[H:12])([H:8])([H:9])[H:10].[C:7]([H:13])([H:14])([H:15])[C:18]([C:17]([C:16]([H:25])([H:26])[H:27])([O:21][C:22](=[O:23])[C:24]([H:29])([H:30])[H:31])[H:28])([H:19])[H:20]
5343,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]=[O:6])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[N:7]([H:17])([H:18])[C:19]([H:20])([H:21])[H:22]
5344,[C:1]([C:2](=[C:3]([C:4]([H:14])([H:15])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[H:12])([H:9])([H:10])[H:11].[H:13][C:23]([N:22]([C:21](=[C:20]([H:25])[H:26])[H:27])[H:28])([O:24])[H:29]
5345,[C:1]([O:2][C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15])([H:8])[H:10].[H:9][C:19]([C:17]([C:16]([H:25])([H:26])[H:27])([C:18]([H:28])([H:29])[H:30])[C:22](=[O:23])[O:24][H:31])([H:20])[H:21]
5346,[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])([H:9])[C:15]([C:13]([O:12][C:11]([C:10]([H:19])([H:20])[H:21])([H:22])[H:23])=[O:14])([H:16])[C:17]([C:18]([H:26])([H:27])[H:28])([H:24])[H:25])[H:7])[H:6]
5347,[C:1]([C:2]([C:3]([H:4])([C:5](=[O:6])[O:7][H:13])[C:17]([C:16]([O:15][C:14]([H:18])([H:19])[H:20])[H:21])([H:22])[H:23])([H:11])[H:12])([H:8])([H:9])[H:10]
5348,[C:1]([C:2]([C:3]([H:8])[H:9])([C:4]([H:10])([H:11])[H:12])[C:15]([C:14]([C:13]([H:21])([H:22])[H:23])([H:24])[H:25])([H:16])[O:17][C:18](=[O:19])[C:20]([H:26])([H:27])[H:28])([H:5])([H:6])[H:7]
5349,[C:17]([C:18]=[O:19])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([H:4])([C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[O:20][C:21](=[C:22]([H:27])[H:28])[H:26])([H:10])[H:11])([H:7])([H:8])[H:9]
5350,[C:1]([H:2])([H:3])[H:4].[C:5]([C:6]([C:7]([C:8]([H:21])([H:22])[H:23])([c:9]1[c:10]([H:24])[c:11]([H:25])[c:12]([H:26])[c:13]([H:27])[c:14]1[H:28])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17]
5351,[C:1]([C:2](=[C:3]([C:4]([H:11])([H:12])[H:13])[C:5]([H:14])([H:15])[H:16])[H:10])([H:6])([H:7])[H:8].[H:9][C:20]([C:19]([O:18][C:17]([H:21])([H:22])[H:23])[H:24])([H:25])[H:26]
5352,[C:1]([C:2]([H:3])([H:4])[C:11]([C:9]([C:8]([H:14])([H:15])[H:16])=[C:10]([H:17])[H:18])([O:12])[O:13][H:19])([H:5])([H:6])[H:7]
5353,[C:4]([C:5](=[C:6]([H:13])[H:14])[C:7](=[O:8])[O:9][H:15])([H:11])[H:12].[O:1]([O:2][H:10])[H:3]
5354,[C:1]([C:2]([C:3]([H:10])([H:11])[C:17]([C:15]([O:14][C:13]([H:20])([H:21])[H:22])([C:16]([H:24])([H:25])[H:26])[H:23])([H:18])[H:19])[C:4](=[O:5])[O:6][H:12])([H:7])([H:8])[H:9]
5355,[C:1]([H:8])([H:9])[H:10].[C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])[H:13])([H:11])([H:12])[C:23]([C:21]([O:20][C:19]([H:26])([H:27])[H:28])([C:22]([H:30])([H:31])[H:32])[H:29])([H:24])[H:25]
5356,[C:1]([C:2](=[C:3]([C:4]([H:14])([H:15])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[H:12])([H:9])([H:10])[H:11].[C:20]([C:21]=[O:22])([H:26])([H:27])[H:28].[H:13][O:23][C:24](=[C:25]([H:30])[H:31])[H:29]
5357,[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])[H:9])([H:7])[C:14]([C:12]([C:11]([C:10]([H:17])([H:18])[H:19])([H:20])[H:21])([C:13]([H:23])([H:24])[H:25])[H:22])([H:15])[H:16])[H:6]
5358,[C:1]([C:2]([H:8])([H:9])[C:13]([H:14])([H:15])[H:16])([H:5])([H:6])[H:7].[C:3](=[C:4]([H:11])[H:12])[H:10]
5359,[C:12]([C:13]([H:22])[H:23])([H:19])([H:20])[H:21].[C:1](=[C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:7])[H:8].[H:6][O:14][C:15](=[O:16])[C:17](=[C:18]([H:25])[H:26])[H:24]
5360,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[H:34])([H:13])[H:14])([H:10])([H:11])[H:12].[C:20]([C:21]([C:22]([C:23]([H:36])([H:37])[H:38])([c:24]1[c:25]([H:39])[c:26]([H:40])[c:27]([H:41])[c:28]([H:42])[c:29]1[H:43])[H:35])[H:33])([H:30])([H:31])[H:32]
5361,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[O:21][C:20]([H:24])([H:25])[H:26])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:22](=[C:23]([H:28])[H:29])[H:27]
5362,[C:17](=[C:18]([N:19][C:20](=[O:21])[H:26])[H:24])([H:22])[H:23].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])([C:5]([H:14])([H:15])[H:16])[H:25])([H:9])[H:10])([H:6])([H:7])[H:8]
5363,[C:1]([C:2]([C:3]([H:4])([H:5])[C:22]([C:21]([H:27])([H:28])[H:29])([O:23])[O:24][C:25](=[C:26]([H:31])[H:32])[H:30])([c:6]1[c:7]([H:16])[c:8]([H:17])[c:9]([H:18])[c:10]([H:19])[c:11]1[H:20])[H:15])([H:12])([H:13])[H:14]
5364,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[C:20]([H:30])([H:31])[H:32])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:21]([C:22]([C:23]([H:36])([H:37])[H:38])([c:24]1[c:25]([H:39])[c:26]([H:40])[c:27]([H:41])[c:28]([H:42])[c:29]1[H:43])[H:35])([H:33])[H:34]
5365,[C:15]([O:16][C:17](=[O:18])[C:19](=[C:20]([H:25])[H:26])[C:21]([H:28])[H:29])([H:22])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])([H:5])[H:27])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
5366,[C:1]([C:2]([C:3]([H:8])[H:9])([C:4]([H:10])([H:11])[H:12])[C:15]([C:14]([C:13]([H:18])([H:19])[H:20])([H:21])[H:22])([C:16]([H:23])([H:24])[H:25])[C:17]([H:26])([H:27])[H:28])([H:5])([H:6])[H:7]
5367,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])[C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])([H:13])[H:14])([H:10])([H:11])[H:12].[C:20]([C:21](=[C:22]([H:27])[H:28])[C:23]([H:29])([H:30])[H:31])([H:24])([H:25])[H:26]
5368,[C:1]([O:2][C:3](=[C:4][H:10])[H:8])([H:5])([H:6])[H:7].[H:9][C:13]([C:12]([C:11]([H:19])([H:20])[H:21])([H:22])[H:23])([H:14])[O:15][C:16](=[O:17])[C:18]([H:24])([H:25])[H:26]
5369,[C:11]([C:12](=[C:13]([H:14])[N:15]([C:16](=[O:17])[H:24])[H:23])[H:22])([H:18])([H:19])[H:20].[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])([H:10])[H:21])[H:8])([H:6])[H:7]
5370,[C:4](=[C:5]([H:8])[H:9])[H:7].[O:1]([C:2](=[O:3])[C:12]([C:11]([C:10]([H:17])([H:18])[H:19])([H:20])[H:21])([H:13])[C:14](=[O:15])[N:16]([H:22])[H:23])[H:6]
5371,[C:18]([C:19]([C:20]([H:33])([H:34])[H:35])([c:21]1[c:22]([H:36])[c:23]([H:37])[c:24]([H:38])[c:25]([H:39])[c:26]1[H:40])[H:32])([H:30])[H:31].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])=[C:5]([H:6])[H:7])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][C:17]([H:27])([H:28])[H:29]
5372,[C:1]([C:2]([N:3]([C:4](=[O:5])[H:10])[H:9])[H:8])([H:6])([H:7])[C:13]([C:12]([C:11]([H:18])([H:19])[H:20])([H:21])[H:22])([H:14])[N:15]([C:16](=[O:17])[H:24])[H:23]
5373,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[C:23]([N:22]([C:21](=[C:20]([H:25])[H:26])[H:27])[H:28])([O:24])[H:29])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13]
5374,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[C:20]([H:24])([H:25])[H:26])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[O:21][C:22](=[C:23]([H:28])[H:29])[H:27]
5375,[C:16]([C:17]([C:18]([H:26])([H:27])[H:28])([C:19]([H:29])([H:30])[H:31])[C:20]([H:32])([H:33])[H:34])([H:24])[H:25].[C:1]([C:2]([C:3]([H:4])([H:5])[C:15]([H:21])([H:22])[H:23])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
5376,[C:19]([C:20](=[C:21]([H:22])[c:23]1[c:24]([H:34])[c:25]([H:35])[c:26]([H:36])[c:27]([H:37])[c:28]1[H:38])[H:32])([H:29])([H:30])[H:31].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([O:6])([N:7]([H:17])[H:18])[H:33])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5377,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7][H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[H:14][C:18]([C:17]([C:16]([H:26])([H:27])[H:28])([H:29])[H:30])([H:19])[c:20]1[c:21]([H:31])[c:22]([H:32])[c:23]([H:33])[c:24]([H:34])[c:25]1[H:35]
5378,[C:1]([C:2]([O:3][C:4]([O:5][C:19]([C:17]([C:16]([H:25])([H:26])[H:27])([C:18]([H:28])([H:29])[H:30])[C:22](=[O:23])[O:24][H:31])([H:20])[H:21])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5379,[C:17](=[C:18]([c:19]1[c:20]([H:28])[c:21]([H:29])[c:22][c:23]([H:31])[c:24]1[H:32])[H:27])([H:25])[H:26].[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])([C:5](=[O:6])[O:7][H:16])[H:30])([H:11])[H:12])([H:8])([H:9])[H:10]
5380,[C:1]([C:2]([H:11])[H:12])([H:8])([H:9])[H:10].[C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[N:7]([H:17])[H:18])([H:13])[C:21]([C:20]([C:19]([H:28])([H:29])[H:30])([O:24][C:25](=[O:26])[C:27]([H:32])([H:33])[H:34])[H:31])([H:22])[H:23]
5381,[C:1]([C:2]([O:3][C:4]([O:5][C:18]([C:17]([C:16]([H:23])([H:24])[H:25])([H:26])[H:27])([C:19]([H:28])([H:29])[H:30])[C:20](=[O:21])[O:22][H:31])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5382,[C:1]([C:2]([H:11])[H:12])([H:8])([H:9])[H:10].[C:3]1([C:4]([H:14])([H:15])[H:16])([H:13])[C:5]([N:7]([H:17])[H:18])([C:21]([C:20]([C:19]([H:26])([H:27])[H:28])([H:29])[H:30])([H:22])[C:23](=[O:24])[O:25][H:31])[O:6]1
5383,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[H:27])([H:12])[H:13])([H:9])([H:10])[H:11].[C:20]([O:21][C:22]=[C:23]([H:28])[H:29])([H:24])([H:25])[H:26]
5384,[N:1]([C:2]([O:3][C:13]([C:12]([C:11]([H:19])([H:20])[H:21])([N:16]([C:17](=[O:18])[H:24])[H:23])[H:22])([H:14])[H:15])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:6])[H:7]
5385,[C:1]([C:2]([C:3]1([C:4]([H:14])([H:15])[H:16])[C:5]([O:6][H:13])([O:7][C:8]([H:17])([H:18])[H:19])[O:24][C:23]1([C:21]([C:20]([H:26])([H:27])[H:28])=[C:22]([H:29])[H:30])[O:25][H:31])[H:12])([H:9])([H:10])[H:11]
5386,[C:1]([C:2]([C:3](=[C:4][H:12])[H:10])([H:8])[H:9])([H:5])([H:6])[H:7].[H:11][C:15]([C:14]([C:13]([H:22])([H:23])[H:24])([O:18][C:19](=[O:20])[C:21]([H:26])([H:27])[H:28])[H:25])([H:16])[H:17]
5387,[C:13]([C:14](=[C:15]([H:16])[O:17][C:18]([H:24])([H:25])[H:26])[H:22])([H:19])([H:20])[H:21].[C:1]([C:2]([C:3]([H:8])([H:9])[H:23])[C:4]([H:10])([H:11])[H:12])([H:5])([H:6])[H:7]
5388,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:15])([H:13])[H:14])([H:10])([H:11])[H:12].[C:7]([H:16])([H:17])([H:18])[O:24][H:25]
5389,[C:16]([H:25])([H:26])[H:27].[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4]1([O:6][H:12])[O:5][C:15]1([C:14]([C:13]([H:20])([H:21])[H:22])([H:23])[H:24])[C:17](=[O:18])[O:19][H:28])([H:7])([H:8])[H:9]
5390,[C:15]([C:16]([O:17][C:18](=[O:19])[C:20](=[C:21]([H:28])[H:29])[H:27])[H:26])([H:22])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])([H:5])[H:25])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
5391,[C:16]([C:17](=[C:18]([H:19])[O:20][C:21]([H:27])([H:28])[H:29])[H:25])([H:22])([H:23])[H:24].[C:1]([H:8])([H:9])([H:10])[H:26].[O:2][C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15]
5392,[C:11](=[O:12])[C:13]([C:14]([H:23])([H:24])[H:25])([C:15]([C:16]([H:28])([H:29])[H:30])([H:26])[H:27])[H:22].[C:1](=[C:2]([H:3])[H:4])([H:6])[H:7].[H:5][O:10][C:9]([C:8]([H:17])([H:18])[H:19])([H:20])[H:21]
5393,[C:16]([C:17]([C:18]([C:19]([H:29])([H:30])[H:31])=[C:20]([H:21])[H:22])([H:26])[H:27])([H:23])([H:24])[H:25].[C:1]([C:2]([O:3][C:4]([O:5])([C:6](=[C:7]([H:14])[H:15])[H:13])[H:28])([H:11])[H:12])([H:8])([H:9])[H:10]
5394,[C:1]([C:2](=[C:3]([H:4])[C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[H:10])([H:7])([H:8])[H:9].[H:11][C:17]([C:18]([c:19]1[c:20]([H:28])[c:21]([H:29])[c:22]([H:30])[c:23]([H:31])[c:24]1[H:32])[H:27])([H:25])[H:26]
5395,[C:17]([C:18]([C:19]([C:20]([H:33])([H:34])[H:35])([c:21]1[c:22][c:23]([H:37])[c:24]([H:38])[c:25]([H:39])[c:26]1[H:40])[H:32])([H:30])[H:31])([H:27])([H:28])[H:29].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[H:36])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5396,[C:13]([C:14](=[C:15]([H:16])[N:17]([C:18](=[O:19])[H:26])[H:25])[H:24])([H:20])([H:21])[H:22].[C:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:11])([H:12])[H:23])[H:10])([H:7])([H:8])[H:9]
5397,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[C:19]([C:18]([C:17]([H:24])([H:25])[H:26])([H:27])[H:28])([C:20]([H:30])([H:31])[H:32])[H:29])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[N:21]([C:22](=[O:23])[H:34])[H:33]
5398,[C:1]([H:5])([H:6])([H:7])[C:15]([C:14]([C:13]([H:19])([H:20])[H:21])([H:22])[H:23])([H:16])[O:17][C:18]([H:24])([H:25])[H:26].[C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9]
5399,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])[H:10])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20]([C:21](=[C:22]([H:27])[H:28])[C:23]([H:29])([H:30])[H:31])([H:24])([H:25])[H:26]
5400,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])=[C:5]([H:6])[H:7])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][C:19]([C:18]([C:17]([H:23])([H:24])[H:25])[C:20](=[O:21])[O:22][H:28])([H:26])[H:27]
5401,[C:17]([C:18](=[C:19]([H:26])[H:27])[C:20](=[O:21])[O:22])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])([H:7])[H:28])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5402,[O:1][O:2][C:9]([C:8]([H:3])([C:6]([O:5][C:4]([H:11])([H:12])[H:13])=[O:7])[C:10]([H:16])([H:17])[H:18])([H:14])[H:15]
5403,[C:11]([C:12]([C:13](=[C:14]([H:24])[H:26])[C:15](=[O:16])[O:17][C:18]([H:27])([H:28])[H:29])([H:22])[H:23])([H:19])([H:20])[H:21].[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])[H:10])([H:8])[H:25])([H:6])[H:7]
5404,[C:15]([C:16]([C:17]([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2](=[C:3]([H:4])[C:5](=[O:6])[N:7]([H:13])[H:14])[H:11])([H:8])([H:9])[H:10].[H:12][C:18]([H:31])([H:32])[H:33]
5405,[N:1]([C:2](=[O:3])[C:4]([C:5]([H:9])[H:10])([H:8])[C:15]([C:13]([O:12][C:11]([H:18])([H:19])[H:20])([C:14]([H:22])([H:23])[H:24])[H:21])([H:16])[H:17])([H:6])[H:7]
5406,[C:13]([C:14](=[C:15]([H:16])[N:17]([C:18](=[O:19])[H:26])[H:25])[H:24])([H:20])([H:21])[H:22].[C:1]([C:2](=[O:3])[O:4][C:5]([C:6]([H:11])[H:12])([H:10])[H:23])([H:7])([H:8])[H:9]
5407,[N:1]([C:2]([O:3][C:13]([C:12]([C:11]([H:20])([H:21])[H:22])([O:16][C:17](=[O:18])[C:19]([H:24])([H:25])[H:26])[H:23])([H:14])[H:15])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:6])[H:7]
5408,[C:1]([C:2]([O:3][C:4]([O:5][C:18]([C:17]([C:16]([H:24])([H:25])[H:26])([H:27])[H:28])([C:19]([H:29])([H:30])[H:31])[C:20](=[O:21])[O:22][C:23]([H:32])([H:33])[H:34])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5409,[C:1]1([H:8])([H:10])[C:9]([H:11])([H:12])[O:14][O:13]1.[C:2]([H:3])([H:4])=[O:5].[O:6][H:7]
5410,[C:1]([C:2]([H:11])([H:12])[C:20]([C:18]([C:17]([C:16]([H:23])([H:24])[H:25])([H:26])[H:27])([C:19]([H:29])([H:30])[H:31])[H:28])([H:21])[H:22])([H:8])([H:9])[H:10].[O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13]
5411,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([H:13])[C:19]([C:18]([H:23])([H:24])[H:25])([C:20]([H:26])([H:27])[H:28])[C:21]#[N:22])([H:11])[H:12])([H:8])([H:9])[H:10].[C:5](=[O:6])[O:7][H:17]
5412,[C:3]([C:4](=[O:5])[O:6][C:7]=[C:8]([H:13])[H:14])([H:9])([H:10])[H:11].[O:1]([H:2])[H:12]
5413,[C:17](=[C:18]([N:19]([C:20](=[O:21])[H:26])[H:25])[H:24])([H:22])[H:23].[C:1]([C:2]([C:3]([C:4]([H:13])([H:14])[H:15])[C:5](=[O:6])[O:7][H:16])([H:11])[H:12])([H:8])([H:9])[H:10]
5414,[C:1]([C:2]([C:3]([H:4])([C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[C:20]([N:19]([C:18](=[C:17]([H:22])[H:23])[H:24])[H:25])([O:21][H:11])[H:26])[H:10])([H:7])([H:8])[H:9]
5415,[C:1]([C:2]([C:3]([H:4])([H:5])[C:20]1([H:34])[C:19]([C:17]([C:16]([C:15]([H:25])([H:26])[H:27])([H:28])[H:29])([C:18]([H:31])([H:32])[H:33])[H:30])[C:24]([H:38])=[C:23]([H:37])[C:22]([H:36])=[C:21]1[H:35])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]
5416,[C:1](=[C:2]([c:3]1[c:4]([H:12])[c:5]([H:13])[c:6][c:7]([H:15])[c:8]1[H:16])[H:11])([H:9])[H:10].[H:14][C:19]([C:18]([C:17]([H:28])([H:29])[H:30])([c:22]1[c:23]([H:32])[c:24]([H:33])[c:25]([H:34])[c:26]([H:35])[c:27]1[H:36])[H:31])([H:20])[H:21]
5417,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:9])[H:10])([H:11])([H:12])[H:13].[C:20](=[C:21]([c:22]1[c:23]([H:31])[c:24]([H:32])[c:25]([H:33])[c:26]([H:34])[c:27]1[H:35])[H:30])([H:28])[H:29]
5418,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:16])([H:17])[H:18])([C:8]([H:19])([H:20])[O:24][H:25])[H:15])([H:13])[H:14])([H:10])([H:11])[H:12].[C:9]([H:21])([H:22])[H:23]
5419,[C:1]([C:2]([O:3][C:4]([O:5][C:20]([C:18]([O:17][C:16]([H:23])([H:24])[H:25])([C:19]([H:27])([H:28])[H:29])[H:26])([H:21])[H:22])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5420,[C:17]([O:18][C:19](=[O:20])[C:21](=[C:22]([H:27])[H:28])[C:23]([H:29])([H:30])[H:31])([H:24])([H:25])[H:26].[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5]([H:6])[H:7])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
5421,[C:11]([C:12]([C:13]([H:14])[c:15]1[c:16]([H:26])[c:17]([H:27])[c:18]([H:28])[c:19]([H:29])[c:20]1[H:30])([H:24])[H:25])([H:21])([H:22])[H:23].[N:1]([C:2](=[O:3])[C:4](=[C:5]([H:9])[H:10])[H:8])([H:6])[H:7]
5422,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:17])([H:18])[H:19])([C:8]([H:9])([H:10])[H:39])[H:16])([H:14])[H:15])([H:11])([H:12])[H:13].[C:20]([C:21]([C:22]([C:23]([H:36])([H:37])[H:38])([c:24]1[c:25][c:26]([H:40])[c:27]([H:41])[c:28]([H:42])[c:29]1[H:43])[H:35])([H:33])[H:34])([H:30])([H:31])[H:32]
